Sr,Developers,Total Projects,Ongoing Projects
549,NK Group,10 Total Projects,5 Ongoing Projects
550,Legacy Groups,9 Total Projects,3 Ongoing Projects
551,Bhargav Infra,4 Total Projects,3 Ongoing Projects
552,Indo Asian Buildcon,6 Total Projects,1 Ongoing Projects
553,Sukhwani Agarwal Group,2 Total Projects, Ongoing Projects
554,Veracity Landmark,4 Total Projects, Ongoing Projects
555,Signet,6 Total Projects, Ongoing Projects
556,Narayan Realty,23 Total Projects,8 Ongoing Projects
557,Sairaj Builders,1 Total Projects, Ongoing Projects
558,Mahalaxmi Builders And Developers Pune,3 Total Projects, Ongoing Projects
559,Sai Developers Bangalore,6 Total Projects,1 Ongoing Projects
560,Vedant,16 Total Projects,1 Ongoing Projects
561,Freebird Universal,1 Total Projects, Ongoing Projects
562,Maa Sankalp Buildcon,5 Total Projects, Ongoing Projects
563,Landson Realty,3 Total Projects, Ongoing Projects
564,Sigma One,2 Total Projects, Ongoing Projects
565,Shree Ram Builders,1 Total Projects,3 Ongoing Projects
566,Millenia Homes,,
567,Crystal Properties,3 Total Projects, Ongoing Projects
568,Kalyani Heritage,,
569,Iristo Developers,,
570,Gruha Navnirman Housing,,
571,Basil Group,,
572,Om Sai Devlopers,,
573,Prime Devlopers Pune,,
574,Dvipaa Infrastructure,,
575,Samarth Developers,7 Total Projects,2 Ongoing Projects
576,Right Time Realtors Llp,,
577,Yashanand Developers,,
578,Krish Developers Pune,1 Total Projects, Ongoing Projects
579,Urja,5 Total Projects, Ongoing Projects
580,Unicon,4 Total Projects,2 Ongoing Projects
581,Vivanta Realty,10 Total Projects,4 Ongoing Projects
582,MGP Developers,,
583,Riddhi Siddhi,2 Total Projects, Ongoing Projects
584,Yashraj,6 Total Projects,1 Ongoing Projects
585,Radhe Homes,5 Total Projects, Ongoing Projects
586,Sai Baba,6 Total Projects, Ongoing Projects
587,Saffron Properties,1 Total Projects, Ongoing Projects
588,Shah Sompura and Co,1 Total Projects, Ongoing Projects
589,Ganraj Associates,9 Total Projects,3 Ongoing Projects
590,Wellwisher Group,8 Total Projects,7 Ongoing Projects
591,SG Ventures,1 Total Projects, Ongoing Projects
592,Anant Prayag Real Homes,1 Total Projects, Ongoing Projects
593,Neeta Realty,1 Total Projects, Ongoing Projects
594,Vardhman Property,2 Total Projects, Ongoing Projects
595,Anushree Realty Group,1 Total Projects, Ongoing Projects
596,Neeti Shelters LLP,10 Total Projects,2 Ongoing Projects
597,Mulik Corp,4 Total Projects,2 Ongoing Projects
598,Sai Sagar Ventures,1 Total Projects, Ongoing Projects
599,Space Creative,,
600,Yogesh Landmarks,3 Total Projects, Ongoing Projects
601,Austin Palms,,
602,Om Sai Developers Patil Nagar,,
603,G Corp Group,16 Total Projects,4 Ongoing Projects
604,WB Group,,
605,VTB Realties,,
606,Yogvinda Promoters And Developers,,
607,Yugal Maheshwari Developers,,
608,Shree Balaji Associates Pune,,
609,Skyboat Infrastructure Unit 1,,
610,More Developers And Builders,,
611,Aarya Developers Ahmednagar,,
612,Infinity Corp,2 Total Projects,2 Ongoing Projects
613,Geeta Group,1 Total Projects, Ongoing Projects
614,Bansal,2 Total Projects, Ongoing Projects
615,Sharda,3 Total Projects, Ongoing Projects
616,Gayatrree Skyscrapers,5 Total Projects,1 Ongoing Projects
617,Bhide Lifestyle World,14 Total Projects,3 Ongoing Projects
618,M S Associates Pune,3 Total Projects,3 Ongoing Projects
619,Silver,9 Total Projects,5 Ongoing Projects
620,Swastik Realty Kolkata,13 Total Projects,1 Ongoing Projects
621,Abhilasha Developers,6 Total Projects,2 Ongoing Projects
622,Panchala Builders,3 Total Projects,1 Ongoing Projects
623,Ashutosh Associates,1 Total Projects, Ongoing Projects
624,Primary,2 Total Projects,1 Ongoing Projects
625,A And A Developers,,
626,Mahalaxmi,4 Total Projects,1 Ongoing Projects
627,Crystal Creations,2 Total Projects, Ongoing Projects
628,Saikrupa Developers Bhawani Peth,,
629,KLS Constructions,,
630,Crystal Developers Manjari,,
631,Playtor Childspaces,15 Total Projects,4 Ongoing Projects
632,Manjari Realtors,,
633,Raghunath And Sons Promoters And Builders,,
634,Dreamland Builders,,
635,Sagar Bandal Associate,,
636,Neelkanth Landmarks,,
637,Shree Sai Associtates,,
638,Yuganth Realty,,
639,Padmalaya,3 Total Projects,2 Ongoing Projects
640,Unique Multicon,2 Total Projects, Ongoing Projects
641,Vinode Buildcon,1 Total Projects, Ongoing Projects
642,Laxmi Infra Venture,11 Total Projects,2 Ongoing Projects
643,Ashiyana Construction,7 Total Projects,7 Ongoing Projects
644,Balaji Kimaya,2 Total Projects, Ongoing Projects
645,Sunny Developers,3 Total Projects,1 Ongoing Projects
646,Shree Ram Developers,4 Total Projects,1 Ongoing Projects
647,Shree Maruti,4 Total Projects, Ongoing Projects
648,Sai Datt,3 Total Projects, Ongoing Projects
649,Tribute Landmarks,2 Total Projects, Ongoing Projects
650,Taksheel Group,4 Total Projects, Ongoing Projects
651,Venktesha,2 Total Projects, Ongoing Projects
652,Bhakti Sagar Developers,,
653,S S Associates Pune,,
654,M2B Infra,,
655,Samruddhi,4 Total Projects, Ongoing Projects
656,Bhoomi Infracon,6 Total Projects, Ongoing Projects
657,GD Ventures,,
658,Espree Realtors,2 Total Projects, Ongoing Projects
659,Surabhi Constructions Pune,,
660,Shelter 24,,
661,Almal Inspired Spaces,3 Total Projects,1 Ongoing Projects
662,MS Arihant,2 Total Projects, Ongoing Projects
663,Shruti Promoters And Developers,,
664,Shaashwat Builders Promoters,,
665,Tarangana,4 Total Projects,1 Ongoing Projects
666,VM Real Tech LLP,,
667,Saga Constructions Anu Group,,
668,Raskar Realtors,2 Total Projects,1 Ongoing Projects
669,Kohinoor Infra,1 Total Projects, Ongoing Projects
670,PRM,3 Total Projects,1 Ongoing Projects
671,Shree OM,3 Total Projects, Ongoing Projects
672,Vasundhara Developers Pune,2 Total Projects,1 Ongoing Projects
673,Ashtavinayak, Total Projects, Ongoing Projects
674,Shraddha Associates,4 Total Projects,2 Ongoing Projects
675,Shree Anand Venkateshwara,2 Total Projects, Ongoing Projects
676,Sunrise Buildcon,2 Total Projects, Ongoing Projects
677,Radhika Constructions,1 Total Projects, Ongoing Projects
678,Vidya Associates And Developers,3 Total Projects, Ongoing Projects
679,Wadhwa Builders And Developers,1 Total Projects, Ongoing Projects
680,Saudamini Developers,1 Total Projects, Ongoing Projects
681,Sawai Developers,,
682,Riddhi Infra Pune,,
683,Dynamic Realty,9 Total Projects,7 Ongoing Projects
684,Iris Group,1 Total Projects, Ongoing Projects
685,Aishwarya Dev,1 Total Projects, Ongoing Projects
686,Ruikar Constructions,2 Total Projects,1 Ongoing Projects
687,Mate Builders,2 Total Projects, Ongoing Projects
688,Shreenath Developers Pune,5 Total Projects,1 Ongoing Projects
689,Pawar Construtions,1 Total Projects, Ongoing Projects
690,Shende Builder,1 Total Projects, Ongoing Projects
691,DG Developers,1 Total Projects, Ongoing Projects
692,Nirman Groups,6 Total Projects,2 Ongoing Projects
693,Sovani Asawari Builder,1 Total Projects, Ongoing Projects
694,Aakar Developers Pune, Total Projects, Ongoing Projects
695,Erende Builders,1 Total Projects, Ongoing Projects
696,Basana Jangada Group,1 Total Projects, Ongoing Projects
697,Vanaz Developers,2 Total Projects, Ongoing Projects
698,Savali,1 Total Projects, Ongoing Projects
699,Yuvraj Dhamale,4 Total Projects,1 Ongoing Projects
700,Pooja Builders,4 Total Projects,2 Ongoing Projects
701,Balaji Realties,1 Total Projects, Ongoing Projects
702,Mohite Builder,1 Total Projects, Ongoing Projects
703,DS Construction,1 Total Projects, Ongoing Projects
704,Dyaneshwar Builder,1 Total Projects, Ongoing Projects
705,Paras Constructions,1 Total Projects, Ongoing Projects
706,Samankar Disa,1 Total Projects, Ongoing Projects
707,Revell,5 Total Projects,4 Ongoing Projects
708,Shilpa Construction,1 Total Projects, Ongoing Projects
709,Vaichal,4 Total Projects,1 Ongoing Projects
710,Bang Agarwal,1 Total Projects, Ongoing Projects
711,Om Sagar,1 Total Projects, Ongoing Projects
712,Shrenik Construction,1 Total Projects, Ongoing Projects
713,Shivanand Developers,1 Total Projects, Ongoing Projects
714,DB Developers,1 Total Projects, Ongoing Projects
715,Shubh Developers Pune,1 Total Projects, Ongoing Projects
716,RSG Constructions,2 Total Projects, Ongoing Projects
717,Amogh,4 Total Projects,2 Ongoing Projects
718,Bheleke,1 Total Projects, Ongoing Projects
719,Gujrat colony,1 Total Projects, Ongoing Projects
720,SG Lanke,1 Total Projects, Ongoing Projects
721,Chhajed And Access Developers,1 Total Projects, Ongoing Projects
722,Agarwal Developer,2 Total Projects, Ongoing Projects
723,Shubhani,1 Total Projects, Ongoing Projects
724,Sneh Properties,2 Total Projects, Ongoing Projects
725,CGS Group,1 Total Projects, Ongoing Projects
726,Shrinath Magic Homes,,
727,Sai Dham Developers,2 Total Projects, Ongoing Projects
728,Nandgde Patil Construction,,
729,Ugam Reality,,
730,Delight,2 Total Projects,1 Ongoing Projects
731,BG Associates,,
732,MD Group,,
733,Siddhivinayak Group,4 Total Projects,1 Ongoing Projects
734,Fortune Builder,1 Total Projects, Ongoing Projects
735,Bhavani Builder,1 Total Projects, Ongoing Projects
736,Nirman Skylines,,
737,Life Style,1 Total Projects, Ongoing Projects
738,Sai Vishwa Developers,2 Total Projects,1 Ongoing Projects
739,Vaishnavi Sharda Constructions,1 Total Projects, Ongoing Projects
740,Shiv Srushti Developers,,
741,Bansal Riverview,,
742,Supreme Infra,,
743,Phadnis Builder,2 Total Projects, Ongoing Projects
744,MHADA,13 Total Projects, Ongoing Projects
745,Gandham,1 Total Projects, Ongoing Projects
746,Pride Group,1 Total Projects, Ongoing Projects
747,Sai Balaji,6 Total Projects, Ongoing Projects
748,Pratibha Group of Construction,1 Total Projects, Ongoing Projects
749,GDS Buildcon,1 Total Projects, Ongoing Projects
750,Shubhtej Developers,1 Total Projects, Ongoing Projects
751,SCN Builder,1 Total Projects, Ongoing Projects
752,Shivnagari Construction,1 Total Projects, Ongoing Projects
753,SMP Namrata,1 Total Projects,1 Ongoing Projects
754,Golande builders,1 Total Projects, Ongoing Projects
755,Jignesh Construction,1 Total Projects, Ongoing Projects
756,Kanifnath,1 Total Projects, Ongoing Projects
757,Samruddhi Constructions,2 Total Projects,1 Ongoing Projects
758,Anurag Developers,1 Total Projects, Ongoing Projects
759,Sneha Builders,2 Total Projects, Ongoing Projects
760,Aakar Construction,2 Total Projects, Ongoing Projects
761,Chetana Group,1 Total Projects, Ongoing Projects
762,Bhatia Developers,1 Total Projects, Ongoing Projects
763,Sukhanad Group,1 Total Projects, Ongoing Projects
764,Mars Group,1 Total Projects, Ongoing Projects
765,Paradise Developers Pune,2 Total Projects, Ongoing Projects
766,VE Nimhan,1 Total Projects, Ongoing Projects
767,Akshara developers,1 Total Projects,2 Ongoing Projects
768,Vfm Enterprises,1 Total Projects, Ongoing Projects
769,SK Builders,8 Total Projects,1 Ongoing Projects
770,Sangvee Shah,1 Total Projects, Ongoing Projects
771,Maurya Society,1 Total Projects, Ongoing Projects
772,Princeton Group,1 Total Projects, Ongoing Projects
773,Nitron Group,3 Total Projects, Ongoing Projects
774,Kalarch Developers,1 Total Projects, Ongoing Projects
775,BK Jhala and Associates,4 Total Projects, Ongoing Projects
776,Chirag Developers,7 Total Projects,4 Ongoing Projects
777,Aishwarya Vimal Developers,1 Total Projects, Ongoing Projects
778,Sigma One And Remonesa,3 Total Projects,1 Ongoing Projects
779,Vishal Properties,3 Total Projects,2 Ongoing Projects
780,Prime Properties,2 Total Projects,1 Ongoing Projects
781,Omkar Groups,1 Total Projects, Ongoing Projects
782,Trimurti Development,3 Total Projects, Ongoing Projects
783,Keshav Leela,1 Total Projects, Ongoing Projects
784,Asha Properties,4 Total Projects, Ongoing Projects
785,Balaji Developers Pune,3 Total Projects, Ongoing Projects
786,Gurukrupa Developers,6 Total Projects, Ongoing Projects
787,Royal Group Of Developers,1 Total Projects, Ongoing Projects
788,Kohinoor Developers,6 Total Projects,1 Ongoing Projects
789,Raghvendra Buildcon,3 Total Projects,1 Ongoing Projects
790,Shubh Corporation,2 Total Projects, Ongoing Projects
791,Smart Builders,1 Total Projects, Ongoing Projects
792,Ashtekar Constructions,3 Total Projects,1 Ongoing Projects
793,Della,2 Total Projects,1 Ongoing Projects
794,S2 Realty and Developers,4 Total Projects,1 Ongoing Projects
795,Ivory Lifespaces,1 Total Projects, Ongoing Projects
796,Walhekar Properties,2 Total Projects, Ongoing Projects
797,Ashapuri,4 Total Projects,3 Ongoing Projects
798,RR Lunkad,13 Total Projects,4 Ongoing Projects
799,Platinum Developers,2 Total Projects, Ongoing Projects
800,Tulsi Developers,5 Total Projects,1 Ongoing Projects
801,Sai Spacecon India P Ltd,1 Total Projects, Ongoing Projects
802,Pragati Builders,2 Total Projects, Ongoing Projects
803,Waghere Promoters,9 Total Projects,5 Ongoing Projects
804,Mohisha Realtors,2 Total Projects, Ongoing Projects
805,KK Dreamz Colonizers Pvt Ltd,4 Total Projects, Ongoing Projects
806,Concrete Group,5 Total Projects,1 Ongoing Projects
807,Aarav Constructions,5 Total Projects, Ongoing Projects
808,Shubh Associates,6 Total Projects,3 Ongoing Projects
809,Twin star Infrastructure,3 Total Projects,3 Ongoing Projects
810,Srrinivas Developers,1 Total Projects, Ongoing Projects
811,Kakade Associates,4 Total Projects,2 Ongoing Projects
812,SP Constructions Peth,,
813,Aahan Buildcon,,
814,Parth Constructions Pune,,
815,Vithuchandra Realty Group,,
816,Vidhi Developers,2 Total Projects, Ongoing Projects
817,Shri Associates Pune,,
818,Maple Group,3 Total Projects, Ongoing Projects
819,Vasan,1 Total Projects, Ongoing Projects
820,Shree Dham Builder,1 Total Projects, Ongoing Projects
821,Kohinoor Properties,12 Total Projects,1 Ongoing Projects
822,Vanketesh Builders,1 Total Projects, Ongoing Projects
823,Satav Builders,5 Total Projects,2 Ongoing Projects
824,Murkute Builder,1 Total Projects, Ongoing Projects
825,Regent Construction,2 Total Projects, Ongoing Projects
826,Lunkad Group,1 Total Projects, Ongoing Projects
827,Agrawal Builder,2 Total Projects, Ongoing Projects
828,High Class Builders,1 Total Projects, Ongoing Projects
829,Sukhwani Chawla,1 Total Projects, Ongoing Projects
830,Shriram Builder,1 Total Projects, Ongoing Projects
831,Vista Construction,1 Total Projects, Ongoing Projects
832,Sunaco Group,1 Total Projects, Ongoing Projects
833,Lunkad Builders,2 Total Projects,1 Ongoing Projects
834,Vastushilp Developers,2 Total Projects,1 Ongoing Projects
835,Bhonwendwe Gaikward,2 Total Projects, Ongoing Projects
836,Everest Developers Pune,1 Total Projects, Ongoing Projects
837,Paranspe Kulkarni,1 Total Projects, Ongoing Projects
838,Sky Word,1 Total Projects, Ongoing Projects
839,Mohole Builders,1 Total Projects, Ongoing Projects
840,Shraddha Group,1 Total Projects, Ongoing Projects
841,Dabhade Construction,1 Total Projects, Ongoing Projects
842,Anuj Properties,1 Total Projects, Ongoing Projects
843,Samistha Builder,1 Total Projects, Ongoing Projects
844,Dev Developers Pune,1 Total Projects, Ongoing Projects
845,Prasanna Builder,1 Total Projects, Ongoing Projects
846,Mahesh Construction,1 Total Projects,1 Ongoing Projects
847,Tejraj,1 Total Projects,1 Ongoing Projects
848,Chauhan Builders,1 Total Projects, Ongoing Projects
849,Kale Builders,1 Total Projects, Ongoing Projects
850,Siddhi,3 Total Projects, Ongoing Projects
851,Lenyadri Housing Society,1 Total Projects, Ongoing Projects
852,Vasant,2 Total Projects, Ongoing Projects
853,Metro Builder Pune,1 Total Projects, Ongoing Projects
854,Sai Builders,7 Total Projects, Ongoing Projects
855,Gaikwad Properties,12 Total Projects,3 Ongoing Projects
856,S V Developers,2 Total Projects, Ongoing Projects
857,Phinix Developers,1 Total Projects, Ongoing Projects
858,Colosseum Developers,1 Total Projects, Ongoing Projects
859,Ujwal Promoters,1 Total Projects, Ongoing Projects
860,Soham Developers Pune,3 Total Projects,2 Ongoing Projects
861,Prosperity Shelters,1 Total Projects, Ongoing Projects
862,Sigma Housing,2 Total Projects,1 Ongoing Projects
863,Tyagi Builder,2 Total Projects, Ongoing Projects
864,Sanskuri,1 Total Projects, Ongoing Projects
865,Delta Empire,3 Total Projects, Ongoing Projects
866,Athena,1 Total Projects, Ongoing Projects
867,Resident Group,1 Total Projects, Ongoing Projects
868,Pratik constructions,3 Total Projects,1 Ongoing Projects
869,Aastha Infra Buildcon,2 Total Projects,1 Ongoing Projects
870,Bhujbal Constructions,2 Total Projects, Ongoing Projects
871,Arun Construction,2 Total Projects, Ongoing Projects
872,GD Square Developers,4 Total Projects,2 Ongoing Projects
873,Nestoria Developers,4 Total Projects, Ongoing Projects
874,Laxmi Builders Pune,4 Total Projects, Ongoing Projects
875,Vitthal Charver,1 Total Projects, Ongoing Projects
876,Keshav Builders,2 Total Projects, Ongoing Projects
877,Royal Builders Pune,1 Total Projects, Ongoing Projects
878,Sudhir Kolte Group,1 Total Projects, Ongoing Projects
879,Amit Builder,3 Total Projects, Ongoing Projects
880,Unity Constructions,1 Total Projects,1 Ongoing Projects
881,Kumar Builder Pune,6 Total Projects, Ongoing Projects
882,Muktaa,3 Total Projects, Ongoing Projects
883,Pankaj Constructions,2 Total Projects, Ongoing Projects
884,Kubera Developers,1 Total Projects, Ongoing Projects
885,Lifespace Realty,2 Total Projects, Ongoing Projects
886,Grenesiis,1 Total Projects,1 Ongoing Projects
887,Siddhant Associates,1 Total Projects, Ongoing Projects
888,G House,1 Total Projects, Ongoing Projects
889,Dream Space,1 Total Projects, Ongoing Projects
890,Rajeshwari Builders,2 Total Projects, Ongoing Projects
891,Shiv Sagar Construction,1 Total Projects, Ongoing Projects
892,Bani Builders,1 Total Projects, Ongoing Projects
893,Blessings Shelters Pvt Ltd,1 Total Projects, Ongoing Projects
894,Shukla Group,1 Total Projects, Ongoing Projects
895,Shree Ram Builder Pune,1 Total Projects, Ongoing Projects
896,Ashish Agarwal,1 Total Projects, Ongoing Projects
